year,cause,deaths
2008,External causes of morbidity and mortality,183816
2009,Certain infectious and parasitic diseases,69558
2009,Neoplasms,582233
2009,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,9644
2009,"Endocrine, nutritional and metabolic diseases",97984
2009,Mental and behavioural disorders,106242
2009,Diseases of the nervous system,134168
2009,Diseases of the eye and adnexa,43
2009,Diseases of the ear and mastoid process,59
2009,Diseases of the circulatory system,784742
2009,Diseases of the respiratory system,238636
2009,Diseases of the digestive system,89415
2009,Diseases of the skin and subcutaneous tissue,4014
2009,Diseases of the musculoskeletal system and connective tissue,13329
2009,Diseases of the genitourinary system,63538
2009,"Pregnancy, childbirth and the puerperium",960
2009,Certain conditions originating in the perinatal period,13116
2009,"Congenital malformations, deformations and chromosomal abnormalities",9883
2009,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",39829
2009,Codes for special purposes,0
2009,External causes of morbidity and mortality,179770
2010,Certain infectious and parasitic diseases,67583
2010,Neoplasms,589660
2010,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,9774
2010,"Endocrine, nutritional and metabolic diseases",98891
2010,Mental and behavioural disorders,120821
2010,Diseases of the nervous system,141106
2010,Diseases of the eye and adnexa,53
2010,Diseases of the ear and mastoid process,65
2010,Diseases of the circulatory system,784454
2010,Diseases of the respiratory system,237433
2010,Diseases of the digestive system,91314
2010,Diseases of the skin and subcutaneous tissue,3995
2010,Diseases of the musculoskeletal system and connective tissue,13323
2010,Diseases of the genitourinary system,65676
2010,"Pregnancy, childbirth and the puerperium",825
2010,Certain conditions originating in the perinatal period,12128
2010,"Congenital malformations, deformations and chromosomal abnormalities",9673
2010,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",38360
2010,Codes for special purposes,0
2010,External causes of morbidity and mortality,183301
2011,Certain infectious and parasitic diseases,68818
2011,Neoplasms,591688
2011,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,10158
2011,"Endocrine, nutritional and metabolic diseases",105144
2011,Mental and behavioural disorders,135949
2011,Diseases of the nervous system,144920
2011,Diseases of the eye and adnexa,49
2011,Diseases of the ear and mastoid process,77
2011,Diseases of the circulatory system,783475
2011,Diseases of the respiratory system,248742
2011,Diseases of the digestive system,94096
2011,Diseases of the skin and subcutaneous tissue,4147
2011,Diseases of the musculoskeletal system and connective tissue,13702
2011,Diseases of the genitourinary system,61592
2011,"Pregnancy, childbirth and the puerperium",931
2011,Certain conditions originating in the perinatal period,12036
2011,"Congenital malformations, deformations and chromosomal abnormalities",9702
2011,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",40184
2011,Codes for special purposes,0
2011,External causes of morbidity and mortality,190048
2012,Certain infectious and parasitic diseases,68409
2012,Neoplasms,597679
2012,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,10474
2012,"Endocrine, nutritional and metabolic diseases",105926
2012,Mental and behavioural disorders,147917
2012,Diseases of the nervous system,146187
2012,Diseases of the eye and adnexa,59
2012,Diseases of the ear and mastoid process,65
2012,Diseases of the circulatory system,787431
2012,Diseases of the respiratory system,246311
2012,Diseases of the digestive system,95284
2012,Diseases of the skin and subcutaneous tissue,4201
2012,Diseases of the musculoskeletal system and connective tissue,13725
2012,Diseases of the genitourinary system,62030
2012,"Pregnancy, childbirth and the puerperium",990
2012,Certain conditions originating in the perinatal period,11917
2012,"Congenital malformations, deformations and chromosomal abnormalities",9636
2012,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",42050
2012,Codes for special purposes,0
2012,External causes of morbidity and mortality,192988
2013,Certain infectious and parasitic diseases,70601
2013,Neoplasms,600113
2013,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,10216
2013,"Endocrine, nutritional and metabolic diseases",109159
2013,Mental and behavioural disorders,156415
2013,Diseases of the nervous system,151784
2013,Diseases of the eye and adnexa,43
2013,Diseases of the ear and mastoid process,71
2013,Diseases of the circulatory system,800937
2013,Diseases of the respiratory system,261071
2013,Diseases of the digestive system,98364
2013,Diseases of the skin and subcutaneous tissue,4330
2013,Diseases of the musculoskeletal system and connective tissue,13534
2013,Diseases of the genitourinary system,64085
2013,"Pregnancy, childbirth and the puerperium",1138
2013,Certain conditions originating in the perinatal period,12084
2013,"Congenital malformations, deformations and chromosomal abnormalities",9583
2013,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",37752
2013,External causes of morbidity and mortality,195710
2014,Certain infectious and parasitic diseases,70413
2014,Neoplasms,607739
2014,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,10744
2014,"Endocrine, nutritional and metabolic diseases",112738
2014,Mental and behavioural disorders,151048
2014,Diseases of the nervous system,165434
2014,Diseases of the eye and adnexa,34
