"geoid","name","intent","period","count_sup","rate","data_as_of","ttm_date_range"
"08","Colorado","FA_Suicide","2023","721","12.30000000000000","2026-05-14T00:00:00.000",
"08","Colorado","FA_Suicide","2024","712","12.10000000000000","2026-05-14T00:00:00.000",
"08","Colorado","FA_Suicide","TTM","734","12.50000000000000","2026-05-14T00:00:00.000","January, 2025 to December, 2025"
"09","Connecticut","All_Homicide","2019","106","3.000000000000000","2026-05-14T00:00:00.000",
"09","Connecticut","All_Homicide","2020","152","4.200000000000000","2026-05-14T00:00:00.000",
"09","Connecticut","All_Homicide","2021","160","4.400000000000000","2026-05-14T00:00:00.000",
"09","Connecticut","All_Homicide","2022","147","4.100000000000000","2026-05-14T00:00:00.000",
"09","Connecticut","All_Homicide","2023","153","4.200000000000000","2026-05-14T00:00:00.000",
"09","Connecticut","All_Homicide","2024","104","2.900000000000000","2026-05-14T00:00:00.000",
"09","Connecticut","All_Homicide","TTM","86","2.400000000000000","2026-05-14T00:00:00.000","January, 2025 to December, 2025"
"09","Connecticut","All_Suicide","2019","435","12.20000000000000","2026-05-14T00:00:00.000",
"09","Connecticut","All_Suicide","2020","364","10.20000000000000","2026-05-14T00:00:00.000",
"09","Connecticut","All_Suicide","2021","401","11.10000000000000","2026-05-14T00:00:00.000",
"09","Connecticut","All_Suicide","2022","398","11.00000000000000","2026-05-14T00:00:00.000",
"09","Connecticut","All_Suicide","2023","356","9.800000000000001","2026-05-14T00:00:00.000",
"09","Connecticut","All_Suicide","2024","394","10.90000000000000","2026-05-14T00:00:00.000",
"09","Connecticut","All_Suicide","TTM","361","10.00000000000000","2026-05-14T00:00:00.000","January, 2025 to December, 2025"
"09","Connecticut","Drug_OD","2019","1133","31.80000000000000","2026-05-14T00:00:00.000",
"09","Connecticut","Drug_OD","2020","1310","36.60000000000000","2026-05-14T00:00:00.000",
"09","Connecticut","Drug_OD","2021","1473","40.90000000000000","2026-05-14T00:00:00.000",
"09","Connecticut","Drug_OD","2022","1420","39.30000000000000","2026-05-14T00:00:00.000",
"09","Connecticut","Drug_OD","2023","1256","34.70000000000000","2026-05-14T00:00:00.000",
"09","Connecticut","Drug_OD","2024","926","25.60000000000000","2026-05-14T00:00:00.000",
"09","Connecticut","Drug_OD","TTM","789","21.80000000000000","2026-05-14T00:00:00.000","November, 2024 to October, 2025"
"09","Connecticut","FA_Deaths","2019","190","5.300000000000000","2026-05-14T00:00:00.000",
"09","Connecticut","FA_Deaths","2020","219","6.100000000000000","2026-05-14T00:00:00.000",
"09","Connecticut","FA_Deaths","2021","248","6.900000000000000","2026-05-14T00:00:00.000",
"09","Connecticut","FA_Deaths","2022","252","7.000000000000000","2026-05-14T00:00:00.000",
"09","Connecticut","FA_Deaths","2023","225","6.200000000000000","2026-05-14T00:00:00.000",
"09","Connecticut","FA_Deaths","2024","224","6.200000000000000","2026-05-14T00:00:00.000",
"09","Connecticut","FA_Deaths","TTM","161","4.500000000000000","2026-05-14T00:00:00.000","January, 2025 to December, 2025"
"09","Connecticut","FA_Homicide","2019","65","1.800000000000000","2026-05-14T00:00:00.000",
"09","Connecticut","FA_Homicide","2020","101","2.800000000000000","2026-05-14T00:00:00.000",
"09","Connecticut","FA_Homicide","2021","116","3.200000000000000","2026-05-14T00:00:00.000",
"09","Connecticut","FA_Homicide","2022","114","3.200000000000000","2026-05-14T00:00:00.000",
"09","Connecticut","FA_Homicide","2023","104","2.900000000000000","2026-05-14T00:00:00.000",
"09","Connecticut","FA_Homicide","2024","69","1.900000000000000","2026-05-14T00:00:00.000",
"09","Connecticut","FA_Homicide","TTM","48","1.300000000000000","2026-05-14T00:00:00.000","January, 2025 to December, 2025"
"09","Connecticut","FA_Suicide","2019","118","3.300000000000000","2026-05-14T00:00:00.000",
"09","Connecticut","FA_Suicide","2020","109","3.000000000000000","2026-05-14T00:00:00.000",
"09","Connecticut","FA_Suicide","2021","122","3.400000000000000","2026-05-14T00:00:00.000",
"09","Connecticut","FA_Suicide","2022","132","3.700000000000000","2026-05-14T00:00:00.000",
"09","Connecticut","FA_Suicide","2023","112","3.100000000000000","2026-05-14T00:00:00.000",
"09","Connecticut","FA_Suicide","2024","149","4.100000000000000","2026-05-14T00:00:00.000",
"09","Connecticut","FA_Suicide","TTM","103","2.800000000000000","2026-05-14T00:00:00.000","January, 2025 to December, 2025"
"10","Delaware","All_Homicide","2019","53","5.400000000000000","2026-05-14T00:00:00.000",
