"geoid","intent","period","count","rate","type","data_as_of","ttm_date_range"
"USA","Drug_OD","2019-10-01T00:00:00.000","5704","20.5","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2019-11-01T00:00:00.000","5807","21.5","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2019-12-01T00:00:00.000","5934","21.3","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2020-01-01T00:00:00.000","6066","21.6","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2020-02-01T00:00:00.000","6003","22.9","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2020-03-01T00:00:00.000","6794","24.2","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2020-04-01T00:00:00.000","7529","27.7","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2020-05-01T00:00:00.000","9029","32.2","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2020-06-01T00:00:00.000","7743","28.5","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2020-07-01T00:00:00.000","8059","28.7","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2020-08-01T00:00:00.000","7858","28","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2020-09-01T00:00:00.000","7090","26.1","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2020-10-01T00:00:00.000","6969","24.8","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2020-11-01T00:00:00.000","6926","25.5","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2020-12-01T00:00:00.000","7236","25.8","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2021-01-01T00:00:00.000","8405","29.8","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2021-02-01T00:00:00.000","7344","28.8","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2021-03-01T00:00:00.000","8904","31.6","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2021-04-01T00:00:00.000","9071","33.2","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2021-05-01T00:00:00.000","8882","31.5","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2021-06-01T00:00:00.000","8639","31.7","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2021-07-01T00:00:00.000","8946","31.7","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2021-08-01T00:00:00.000","8944","31.7","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2021-09-01T00:00:00.000","8536","31.3","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2021-10-01T00:00:00.000","8348","29.6","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2021-11-01T00:00:00.000","7886","28.9","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2021-12-01T00:00:00.000","8205","29.1","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2022-01-01T00:00:00.000","8538","30.2","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2022-02-01T00:00:00.000","8143","31.9","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2022-03-01T00:00:00.000","8768","31","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2022-04-01T00:00:00.000","8159","29.8","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2022-05-01T00:00:00.000","8419","29.7","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2022-06-01T00:00:00.000","8480","31","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2022-07-01T00:00:00.000","9043","31.9","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2022-08-01T00:00:00.000","8747","30.9","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2022-09-01T00:00:00.000","8441","30.8","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2022-10-01T00:00:00.000","8640","30.5","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2022-11-01T00:00:00.000","8417","30.7","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2022-12-01T00:00:00.000","9045","32","month","2026-05-14T00:00:00.000",
