"round","topic","indicator","full_indicator","demographic_variable","demographic_variable_label","estimate","confidence_interval"
"1","Air Cleaners or Purifiers","Reasons does not use air cleaner or purifier: Some other reason","Among all adults, percentage who don't use a portable air cleaner or purifier for some other reason","Age group","18-44 years","11.3","9.9, 12.8"
"1","Air Cleaners or Purifiers","Reasons does not use air cleaner or purifier: Some other reason","Among all adults, percentage who don't use a portable air cleaner or purifier for some other reason","Age group","45-64 years","15.1","13.5, 16.8"
"1","Air Cleaners or Purifiers","Reasons does not use air cleaner or purifier: Some other reason","Among all adults, percentage who don't use a portable air cleaner or purifier for some other reason","Age group","65 years and older","16","14.2, 17.9"
"1","Air Cleaners or Purifiers","Reasons for using portable air cleaner or purifier: Some other reason","Among all adults, percentage who use a portable air cleaner or purifier in their home for some other reason","Age group","18-44 years","16.5","14.8, 18.2"
"1","Air Cleaners or Purifiers","Reasons for using portable air cleaner or purifier: Some other reason","Among all adults, percentage who use a portable air cleaner or purifier in their home for some other reason","Age group","45-64 years","11.7","10.3, 13.3"
"1","Air Cleaners or Purifiers","Reasons for using portable air cleaner or purifier: Some other reason","Among all adults, percentage who use a portable air cleaner or purifier in their home for some other reason","Age group","65 years and older","9.2","7.9, 10.8"
"1","Air Cleaners or Purifiers","Reasons for using portable air cleaner or purifier: To remove smoke particles from the air","Among all adults, percentage who use a portable air cleaner or purifier in their home to remove smoke particles from the air","Age group","18-44 years","17.8","16, 19.6"
"1","Air Cleaners or Purifiers","Reasons for using portable air cleaner or purifier: To remove smoke particles from the air","Among all adults, percentage who use a portable air cleaner or purifier in their home to remove smoke particles from the air","Age group","45-64 years","12.1","10.6, 13.7"
"1","Air Cleaners or Purifiers","Reasons for using portable air cleaner or purifier: To remove smoke particles from the air","Among all adults, percentage who use a portable air cleaner or purifier in their home to remove smoke particles from the air","Age group","65 years and older","10.2","8.7, 11.8"
"1","Air Cleaners or Purifiers","Reasons for using portable air cleaner or purifier: To remove virus particles that people exhale","Among all adults, percentage who use a portable air cleaner or purifier in their home to remove virus particles that people exhale","Age group","18-44 years","21.8","20, 23.6"
"1","Air Cleaners or Purifiers","Reasons for using portable air cleaner or purifier: To remove virus particles that people exhale","Among all adults, percentage who use a portable air cleaner or purifier in their home to remove virus particles that people exhale","Age group","45-64 years","18","16.2, 19.9"
"1","Air Cleaners or Purifiers","Reasons for using portable air cleaner or purifier: To remove virus particles that people exhale","Among all adults, percentage who use a portable air cleaner or purifier in their home to remove virus particles that people exhale","Age group","65 years and older","15.9","14.1, 17.8"
