stateabbr,measureid,data_value_type,data_value,population
CO,COPD,CrdPrv,5.3,5877610
CO,CSMOKING,AgeAdjPrv,11.0,5877610
CO,CSMOKING,CrdPrv,10.9,5877610
CO,DENTAL,AgeAdjPrv,64.4,5877610
CO,DENTAL,CrdPrv,64.6,5877610
CO,DEPRESSION,AgeAdjPrv,22.9,5877610
CO,DEPRESSION,CrdPrv,22.7,5877610
CO,DIABETES,AgeAdjPrv,8.0,5877610
CO,DIABETES,CrdPrv,8.6,5877610
CO,DISABILITY,AgeAdjPrv,26.6,5877610
CO,DISABILITY,CrdPrv,27.2,5877610
CO,GHLTH,AgeAdjPrv,15.3,5877610
CO,GHLTH,CrdPrv,15.5,5877610
CO,HEARING,AgeAdjPrv,6.0,5877610
CO,HEARING,CrdPrv,6.4,5877610
CO,HIGHCHOL,AgeAdjPrv,28.8,5877610
CO,HIGHCHOL,CrdPrv,31.5,5877610
CO,INDEPLIVE,AgeAdjPrv,6.7,5877610
CO,INDEPLIVE,CrdPrv,6.7,5877610
CO,LPA,AgeAdjPrv,17.5,5877610
CO,LPA,CrdPrv,17.7,5877610
CO,MAMMOUSE,AgeAdjPrv,71.0,5877610
CO,MAMMOUSE,CrdPrv,71.5,5877610
CO,MHLTH,AgeAdjPrv,16.4,5877610
CO,MHLTH,CrdPrv,16.1,5877610
CO,MOBILITY,AgeAdjPrv,9.8,5877610
CO,MOBILITY,CrdPrv,10.4,5877610
CO,OBESITY,AgeAdjPrv,26.2,5877610
CO,OBESITY,CrdPrv,26.2,5877610
CO,PHLTH,AgeAdjPrv,11.6,5877610
CO,PHLTH,CrdPrv,11.9,5877610
CO,SELFCARE,AgeAdjPrv,2.8,5877610
CO,SELFCARE,CrdPrv,2.9,5877610
CO,SLEEP,AgeAdjPrv,31.2,5877610
CO,SLEEP,CrdPrv,30.8,5877610
CO,STROKE,AgeAdjPrv,2.6,5877610
CO,STROKE,CrdPrv,2.7,5877610
CO,TEETHLOST,AgeAdjPrv,9.5,5877610
CO,TEETHLOST,CrdPrv,9.3,5877610
CO,VISION,AgeAdjPrv,4.1,5877610
CO,VISION,CrdPrv,4.2,5877610
CT,ACCESS2,AgeAdjPrv,10.5,3617176
CT,ACCESS2,CrdPrv,10.0,3617176
CT,ARTHRITIS,AgeAdjPrv,21.2,3617176
CT,ARTHRITIS,CrdPrv,24.7,3617176
CT,BINGE,AgeAdjPrv,16.7,3617176
CT,BINGE,CrdPrv,15.4,3617176
CT,BPHIGH,AgeAdjPrv,28.3,3617176
CT,BPHIGH,CrdPrv,32.0,3617176
CT,BPMED,AgeAdjPrv,57.3,3617176
CT,BPMED,CrdPrv,76.5,3617176
CT,CANCER,AgeAdjPrv,7.0,3617176
CT,CANCER,CrdPrv,8.5,3617176
CT,CASTHMA,AgeAdjPrv,11.0,3617176
CT,CASTHMA,CrdPrv,11.0,3617176
CT,CHD,AgeAdjPrv,4.7,3617176
CT,CHD,CrdPrv,5.8,3617176
CT,CHECKUP,AgeAdjPrv,78.4,3617176
CT,CHECKUP,CrdPrv,80.4,3617176
CT,CHOLSCREEN,AgeAdjPrv,88.1,3617176
CT,CHOLSCREEN,CrdPrv,89.5,3617176
CT,COGNITION,AgeAdjPrv,12.8,3617176
CT,COGNITION,CrdPrv,12.3,3617176
CT,COLON_SCREEN,AgeAdjPrv,66.4,3617176
CT,COLON_SCREEN,CrdPrv,72.3,3617176
CT,COPD,AgeAdjPrv,4.8,3617176
CT,COPD,CrdPrv,5.6,3617176
CT,CSMOKING,AgeAdjPrv,10.9,3617176
CT,CSMOKING,CrdPrv,10.6,3617176
CT,DENTAL,AgeAdjPrv,69.6,3617176
CT,DENTAL,CrdPrv,70.7,3617176
CT,DEPRESSION,AgeAdjPrv,21.3,3617176
CT,DEPRESSION,CrdPrv,20.6,3617176
CT,DIABETES,AgeAdjPrv,8.6,3617176
CT,DIABETES,CrdPrv,10.2,3617176
CT,DISABILITY,AgeAdjPrv,23.9,3617176
CT,DISABILITY,CrdPrv,25.3,3617176
CT,EMOTIONSPT,AgeAdjPrv,25.6,3617176
CT,EMOTIONSPT,CrdPrv,25.1,3617176
CT,FOODINSECU,AgeAdjPrv,15.7,3617176
CT,FOODINSECU,CrdPrv,14.9,3617176
CT,FOODSTAMP,AgeAdjPrv,12.4,3617176
CT,FOODSTAMP,CrdPrv,11.7,3617176
CT,GHLTH,AgeAdjPrv,15.6,3617176
CT,GHLTH,CrdPrv,16.2,3617176
CT,HEARING,AgeAdjPrv,5.1,3617176
CT,HEARING,CrdPrv,5.9,3617176
CT,HIGHCHOL,AgeAdjPrv,33.4,3617176
CT,HIGHCHOL,CrdPrv,38.4,3617176
CT,HOUSINSECU,AgeAdjPrv,13.6,3617176
CT,HOUSINSECU,CrdPrv,12.5,3617176
CT,INDEPLIVE,AgeAdjPrv,6.9,3617176
CT,INDEPLIVE,CrdPrv,7.0,3617176
CT,LACKTRPT,AgeAdjPrv,8.8,3617176
CT,LACKTRPT,CrdPrv,8.3,3617176
CT,LONELINESS,AgeAdjPrv,34.0,3617176
CT,LONELINESS,CrdPrv,33.2,3617176
CT,LPA,AgeAdjPrv,24.1,3617176
CT,LPA,CrdPrv,25.1,3617176
